"Drive","SizeBytes","UsedBytes","FreeBytes","SizeHuman","UsedHuman","FreeHuman"
"C:","567623921664","463773241344","103850680320","528.64 GB","431.92 GB","96.72 GB"
"D:","454197653504","434302468096","19895185408","423.00 GB","404.48 GB","18.53 GB"
