"Path","SizeBytes","SizeHuman","Category","Status","DeletedAt","ErrorMessage"
"C:\Users\m1389\AppData\Local\uv\cache\archive-v0","8137680817","7.58 GB","浏览器缓存、软件缓存、日志","Deleted","2026/4/10 23:30:38",
"D:\$RECYCLE.BIN\S-1-5-21-1418471464-393063676-2544137915-1001","5905575205","5.50 GB","临时文件、回收站","Deleted","2026/4/10 23:30:54",
"D:\KuGou\Temp\tp2p","2146775862","2.00 GB","临时文件、回收站","Deleted","2026/4/10 23:30:55",
"C:\Users\m1389\AppData\Local\Temp\jxauypd1","2074619450","1.93 GB","临时文件、回收站","Deleted","2026/4/10 23:30:55",
"C:\Users\m1389\AppData\Local\pip\cache\http-v2","1094993369","1.02 GB","浏览器缓存、软件缓存、日志","Deleted","2026/4/10 23:30:56",
