"Drive","FreeBeforeBytes","FreeBeforeHuman","FreeAfterBytes","FreeAfterHuman","ReleasedBytes","ReleasedHuman"
"C:","92474707968","86.12 GB","103850680320","96.72 GB","11375972352","10.59 GB"
"D:","11839414272","11.03 GB","19895185408","18.53 GB","8055771136","7.50 GB"
