"Drive","SizeBytes","UsedBytes","FreeBytes","SizeHuman","UsedHuman","FreeHuman"
"C:","567623921664","475149213696","92474707968","528.64 GB","442.52 GB","86.12 GB"
"D:","454197653504","442358239232","11839414272","423.00 GB","411.98 GB","11.03 GB"
