"Drive","VolumeName","SizeBytes","UsedBytes","FreeBytes","SizeHuman","UsedHuman","FreeHuman","UsagePercent"
"C:","Windows-SSD","567623921664","473142222848","94481698816","528.64 GB","440.65 GB","87.99 GB","83.35"
"D:","Software","454197653504","442334687232","11862966272","423.00 GB","411.96 GB","11.05 GB","97.39"
"E:","Models","1024191361024","1009158836224","15032524800","953.85 GB","939.85 GB","14.00 GB","98.53"
