"Drive","VolumeName","SizeBytes","UsedBytes","FreeBytes","SizeHuman","UsedHuman","FreeHuman","UsagePercent"
"C:","Windows-SSD","567623921664","473651826688","93972094976","528.64 GB","441.12 GB","87.52 GB","83.44"
"D:","Software","454197653504","442337046528","11860606976","423.00 GB","411.96 GB","11.05 GB","97.39"
"E:","Models","1024191361024","1009158836224","15032524800","953.85 GB","939.85 GB","14.00 GB","98.53"
