"DuplicateGroup","KeepPath","RemovePath","SizeBytes","SizeHuman","Hash","SuggestedAction"
"DUP-0001","C:\Users\m1389\Downloads\ControlNet-manga-recolor15.safetensors","E:\webui_forge_cu121_torch231\webui\models\ControlNet\manga-recolor\ControlNet-manga-recolor15.safetensors","1445157120","1.35 GB","8B2F190A6801B674712929577A4F7C11F0C3026770358E6D4B8839CE4A69AE3F","移入回收站"
"DUP-0002","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\Anything_v5_PRT_RE.safetensors","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\anything_v5.safetensors","2132626102","1.99 GB","7F96A1A9CA9B3A3242A9AE95D19284F0D2DA8D5282B42D2D974398BF7663A252","移入回收站"
"DUP-0003","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\NoobAI\oneObsession_v16Noobai.safetensors","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\NoobAI\One obsession-一念痴迷动漫 含热门角色_16NoobAi-内置VAE.safetensors","6938040682","6.46 GB","148DA66FE449FA513A7EA8E3694CC71788982E5026582BFAB01D91A05924C67D","移入回收站"
"DUP-0004","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sdxl\iniverseMixSFWNSFW_ponyRealGuofengV51.safetensors","D:\Forge Models\Stable-Diffusion\pony\iniverseMixSFWNSFW_ponyRealGuofengV51.safetensors","6938045946","6.46 GB","1FE5E6475207C8DAA3579D124A7D7DBCC18888604577EC0CE356920213BB2F9F","移入回收站"
"DUP-0005","E:\ComfyUI_windows_portable\ComfyUI\models\checkpoints\sd_xl_base_1.0.safetensors","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sdxl\sd_xl_base_1.0.safetensors","6938078334","6.46 GB","31E35C80FC4829D14F90153F4C74CD59C90B779F6AFE05A74CD6120B893F7E5B","移入回收站"
