"ItemType","Path","SizeBytes","SizeHuman","Category","LastAccessTime","LastWriteTime","RiskLevel","SuggestedAction","EstimatedReleaseBytes","EstimatedReleaseHuman","Reason"
"Directory","C:\Users\m1389\.vscode\extensions","3604495996","3.36 GB","未分类","2026/4/10 15:44:52","2026/4/10 13:58:04","高风险","保留不动","3604495996","3.36 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\.lmstudio\extensions","3442310362","3.21 GB","未分类","2026/4/10 15:26:41","2026/2/24 12:54:08","高风险","保留不动","3442310362","3.21 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\ProgramData\Microsoft\VisualStudio","3416675930","3.18 GB","未分类","2026/4/10 15:25:32","2025/11/9 23:16:14","高风险","保留不动","3416675930","3.18 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\ProgramData\Microsoft\VisualStudio\Packages","3410051455","3.18 GB","未分类","2026/4/10 15:25:32","2025/11/9 23:39:45","高风险","保留不动","3410051455","3.18 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\AppData\Roaming\kingsoft\wps","3392070657","3.16 GB","未分类","2026/4/10 15:34:07","2025/10/11 23:27:30","高风险","保留不动","3392070657","3.16 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\AppData\Roaming\kingsoft\wps\addons","3375260985","3.14 GB","未分类","2026/4/10 15:34:07","2025/10/15 0:13:07","高风险","保留不动","3375260985","3.14 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\.lmstudio\extensions\backends","3375245758","3.14 GB","未分类","2026/4/10 15:26:39","2026/4/7 11:15:45","高风险","保留不动","3375245758","3.14 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\AppData\Local\Android\Sdk\system-images\android-29","3373766160","3.14 GB","未分类","2026/4/10 15:28:13","2026/2/24 21:59:27","高风险","保留不动","3373766160","3.14 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\AppData\Local\Android\Sdk\system-images\android-29\default\x86_64","3373766160","3.14 GB","未分类","2026/4/10 15:28:13","2026/2/24 22:02:56","高风险","保留不动","3373766160","3.14 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\AppData\Local\Android\Sdk\system-images\android-29\default","3373766160","3.14 GB","未分类","2026/4/10 15:45:33","2026/2/24 22:02:56","高风险","保留不动","3373766160","3.14 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\ProgramData\Topaz Labs LLC\Topaz Video AI\models\models\astra-1.0","3322195682","3.09 GB","AI 模型权重、数据集、缓存","2026/4/10 15:26:18","2025/10/29 6:45:52","中风险","需要用户确认","3322195682","3.09 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","C:\ProgramData\Topaz Labs LLC\Topaz Video AI\models\models","3322195682","3.09 GB","AI 模型权重、数据集、缓存","2026/4/10 15:45:33","2025/10/29 6:45:43","中风险","需要用户确认","3322195682","3.09 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","C:\Program Files (x86)\Lenovo","3272841748","3.05 GB","未分类","2026/4/10 15:41:57","2026/2/28 1:09:08","高风险","保留不动","3272841748","3.05 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Program Files\Docker\Docker\resources","3211186118","2.99 GB","虚拟机镜像、容器镜像","2026/4/10 15:45:31","2026/3/10 9:53:31","高风险","保留不动","3211186118","2.99 GB","虚拟磁盘和容器层删除后会直接影响运行环境，必须保守处理。"
"Directory","C:\Program Files (x86)\Microsoft Visual Studio","3179446112","2.96 GB","未分类","2026/4/10 15:38:40","2025/10/29 9:25:18","高风险","保留不动","3179446112","2.96 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Program Files (x86)\Microsoft Visual Studio\2019","3077080921","2.87 GB","未分类","2026/4/10 15:38:40","2025/10/29 9:25:18","高风险","保留不动","3077080921","2.87 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Program Files (x86)\Microsoft Visual Studio\2019\BuildTools","3077080921","2.87 GB","未分类","2026/4/10 15:23:30","2025/11/9 23:39:39","高风险","保留不动","3077080921","2.87 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\ProgramData\NVIDIA Corporation\NVIDIA App\UpdateFramework\ota-artifacts\crd\post-processing","3058263624","2.85 GB","未分类","2026/4/10 15:25:37","2026/3/11 22:58:49","高风险","保留不动","3058263624","2.85 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\ProgramData\NVIDIA Corporation\NVIDIA App\UpdateFramework\ota-artifacts\crd\post-processing\884588d655dec5cd83c60f19821cd520","3058263624","2.85 GB","未分类","2026/4/10 15:25:37","2026/3/11 21:20:54","高风险","保留不动","3058263624","2.85 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\AppData\Local\Kingsoft","2954867921","2.75 GB","未分类","2026/4/10 15:41:46","2026/4/9 13:21:22","高风险","保留不动","2954867921","2.75 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
