"ItemType","Path","SizeBytes","SizeHuman","Category","LastAccessTime","LastWriteTime","RiskLevel","SuggestedAction","EstimatedReleaseBytes","EstimatedReleaseHuman","Reason","Hash","DuplicateGroup"
"File","D:\Program Data\lmstudio_models\lmstudio-community\Qwen3-VL-8B-Instruct-GGUF\Qwen3-VL-8B-Instruct-Q4_K_M.gguf","5027784800","4.68 GB","AI 模型权重、数据集、缓存","2026/3/10 12:37:49","2026/2/25 21:26:55","中风险","需要用户确认","5027784800","4.68 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Data\lmstudio_models\lmstudio-community\Qwen3.5-35B-A3B-GGUF\Qwen3.5-35B-A3B-Q4_K_M.gguf","21169116992","19.72 GB","AI 模型权重、数据集、缓存","2026/3/10 10:17:38","2026/2/26 1:02:14","中风险","需要用户确认","21169116992","19.72 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Data\lmstudio_models\lmstudio-community\Qwen3.5-9B-GGUF\Qwen3.5-9B-Q4_K_M.gguf","5627044256","5.24 GB","AI 模型权重、数据集、缓存","2026/4/10 10:28:44","2026/3/10 12:42:21","中风险","需要用户确认","5627044256","5.24 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Data\lmstudio_models\lmstudio-community\QwQ-32B-GGUF\QwQ-32B-Q4_K_M.gguf","19851336256","18.49 GB","AI 模型权重、数据集、缓存","2026/4/10 14:06:50","2026/2/25 11:27:53","中风险","需要用户确认","19851336256","18.49 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Data\lmstudio_models\mradermacher\gemma-4-31b-it-heretic-ara-GGUF\gemma-4-31b-it-heretic-ara.IQ4_XS.gguf","16862228640","15.70 GB","AI 模型权重、数据集、缓存","2026/4/10 14:06:35","2026/4/7 10:27:07","中风险","需要用户确认","16862228640","15.70 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Data\lmstudio_models\mradermacher\gemma-4-31b-it-heretic-ara-GGUF\gemma-4-31b-it-heretic-ara.mmproj-f16.gguf","1198956864","1.12 GB","AI 模型权重、数据集、缓存","2026/4/9 7:01:28","2026/4/7 9:44:19","中风险","需要用户确认","1198956864","1.12 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Data\lmstudio_models\unsloth\Qwen3.5-27B-GGUF\mmproj-F32.gguf","1842940352","1.72 GB","AI 模型权重、数据集、缓存","2026/2/25 22:33:38","2026/2/25 19:29:40","中风险","需要用户确认","1842940352","1.72 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Data\lmstudio_models\unsloth\Qwen3.5-27B-GGUF\Qwen3.5-27B-Q5_K_M.gguf","19608995200","18.26 GB","AI 模型权重、数据集、缓存","2026/2/25 22:33:35","2026/2/25 19:53:00","中风险","需要用户确认","19608995200","18.26 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Files\Adobe.Photoshop.2025.u13.Multilingual\Adobe 2025\products\ACR\AdobeCameraRawProfile8.0All.zip","1545903621","1.44 GB","视频、压缩包、安装包","2025/12/18 1:59:21","2025/8/15 2:14:02","中风险","需要用户确认","1545903621","1.44 GB","大体积媒体或安装介质适合归档或删除，但需确认是否仍有使用需求。",,
"File","D:\Program Files\Adobe.Photoshop.2025.u13.Multilingual\Adobe 2025\products\PHSP\AdobePhotoshop26-Core_x64.zip","2718712979","2.53 GB","视频、压缩包、安装包","2025/12/18 1:59:04","2025/9/25 21:34:20","中风险","需要用户确认","2718712979","2.53 GB","大体积媒体或安装介质适合归档或删除，但需确认是否仍有使用需求。",,
