"ItemType","Path","SizeBytes","SizeHuman","Category","LastAccessTime","LastWriteTime","RiskLevel","SuggestedAction","EstimatedReleaseBytes","EstimatedReleaseHuman","Reason","Hash","DuplicateGroup"
"File","C:\Users\m1389\AppData\Local\Android\Sdk\system-images\android-36.1\google_apis_playstore\x86_64\system.img","2421161984","2.25 GB","视频、压缩包、安装包","2026/2/24 19:13:14","2026/2/24 19:13:14","高风险","保留不动","2421161984","2.25 GB","大体积媒体或安装介质适合归档或删除，但需确认是否仍有使用需求。",,
"File","C:\Users\m1389\AppData\Local\Docker\wsl\disk\docker_data.vhdx","4170186752","3.88 GB","虚拟机镜像、容器镜像","2026/3/12 7:40:12","2026/3/12 7:40:12","高风险","保留不动","4170186752","3.88 GB","虚拟磁盘和容器层删除后会直接影响运行环境，必须保守处理。",,
"File","C:\Users\m1389\AppData\Local\Google\Chrome\User Data\OptGuideOnDeviceModel\2025.8.8.1141\weights.bin","4269932544","3.98 GB","未分类","2026/2/28 15:19:25","1980/1/1 8:00:00","高风险","保留不动","4269932544","3.98 GB","路径用途不明或属于工作/系统关键区域，默认保留。",,
"File","C:\Users\m1389\AppData\Local\NVIDIA\DXCache\23e0a9382b109401.nvph","4294967296","4.00 GB","未分类","2026/3/10 23:39:00","2026/3/10 23:39:00","高风险","保留不动","4294967296","4.00 GB","路径用途不明或属于工作/系统关键区域，默认保留。",,
"File","C:\Users\m1389\AppData\Local\uv\cache\archive-v0\F6vBYgGD954dYGQq2I8Oy\torch\lib\dnnl.lib","2325850314","2.17 GB","浏览器缓存、软件缓存、日志","2025/10/16 0:52:12","2025/10/16 0:52:12","低风险","直接删除","2325850314","2.17 GB","缓存和日志通常可再生成，对业务数据影响较低。",,
"File","C:\Users\m1389\AppData\Local\wsl\{935891b3-19d4-4c4b-b28a-2703d2b332c5}\ext4.vhdx","4184866816","3.90 GB","虚拟机镜像、容器镜像","2026/3/12 7:40:42","2026/3/12 7:40:42","高风险","保留不动","4184866816","3.90 GB","虚拟磁盘和容器层删除后会直接影响运行环境，必须保守处理。",,
"File","C:\Users\m1389\Documents\未命名混音项目 2_缩混.wav","2724010230","2.54 GB","旧项目归档、课程资料、无用备份","2026/3/7 16:09:18","2025/9/10 17:36:11","高风险","上云后删除本地","2724010230","2.54 GB","可能仍有复用价值，默认推荐归档而非直接删除。",,
"File","C:\Users\m1389\Documents\GeekDog\Data\Down\22621.525.220925-0207.ni_release_svc_refresh_CLIENTCONSUMER_RET_x64FRE_zh-cn.esd","3874264661","3.61 GB","旧项目归档、课程资料、无用备份","2025/9/18 14:44:22","2024/8/10 10:02:17","高风险","上云后删除本地","3874264661","3.61 GB","可能仍有复用价值，默认推荐归档而非直接删除。",,
"File","C:\Users\m1389\Downloads\AI可以取代我，那我的意义是？.mp4","1177713454","1.10 GB","下载目录","2026/3/6 10:56:32","2025/11/30 9:22:50","中风险","需要用户确认","1177713454","1.10 GB","下载目录常包含历史安装包、压缩包和媒体文件，需要结合访问时间判定。",,
"File","C:\Users\m1389\Downloads\android-studio-panda1-patch1-windows.exe","1375037032","1.28 GB","下载目录","2026/4/7 11:21:39","2026/2/24 18:45:56","中风险","需要用户确认","1375037032","1.28 GB","下载目录常包含历史安装包、压缩包和媒体文件，需要结合访问时间判定。",,
"File","C:\Users\m1389\Downloads\ControlNet-manga-recolor15.safetensors","1445157120","1.35 GB","下载目录","2026/4/2 22:49:05","2026/4/2 21:44:08","中风险","需要用户确认","1445157120","1.35 GB","下载目录常包含历史安装包、压缩包和媒体文件，需要结合访问时间判定。",,
"File","C:\Users\m1389\Videos\Captures\未成年色情法律讨论 - Google Chrome 2026-01-08 13-30-27.mp4","9265097883","8.63 GB","视频、压缩包、安装包","2026/3/22 0:13:37","2026/1/8 17:30:02","中风险","需要用户确认","9265097883","8.63 GB","大体积媒体或安装介质适合归档或删除，但需确认是否仍有使用需求。",,
"File","C:\Users\m1389\Videos\Captures\ChatGPT - 复变函数小论文 - Google Chrome 2026-01-07 14-35-46.mp4","11245057339","10.47 GB","视频、压缩包、安装包","2026/3/22 0:13:37","2026/1/7 16:01:27","中风险","需要用户确认","11245057339","10.47 GB","大体积媒体或安装介质适合归档或删除，但需确认是否仍有使用需求。",,
"File","C:\Windows\Panther\setupact.log","1622422286","1.51 GB","未分类","2026/3/7 16:07:45","2026/3/7 16:07:45","高风险","保留不动","1622422286","1.51 GB","路径用途不明或属于工作/系统关键区域，默认保留。",,
