"Drive","Category","SizeBytes","SizeHuman"
"D:","AI 模型权重、数据集、缓存","276883244592","257.87 GB"
"D:","虚拟机镜像、容器镜像","58896565911","54.85 GB"
"D:","未分类","48030854909","44.73 GB"
"D:","视频、压缩包、安装包","21826469343","20.33 GB"
"D:","游戏文件与游戏缓存","18477021688","17.21 GB"
"D:","临时文件、回收站","8940625026","8.33 GB"
"D:","旧项目归档、课程资料、无用备份","794589265","757.78 MB"
"D:","浏览器缓存、软件缓存、日志","108399336","103.38 MB"
"D:","云盘同步目录中的本地副本","31689095","30.22 MB"
"D:","下载目录","14580","14.24 KB"
"D:","桌面堆积文件","2246","2.19 KB"
