"ItemType","Path","SizeBytes","SizeHuman","Category","LastAccessTime","LastWriteTime","RiskLevel","SuggestedAction","EstimatedReleaseBytes","EstimatedReleaseHuman","Reason","Hash","DuplicateGroup"
"File","E:\ComfyUI_windows_portable\ComfyUI\models\text_encoders\umt5-xxl-encoder-Q5_K_M.gguf","4145878880","3.86 GB","AI 模型权重、数据集、缓存","2026/3/1 13:49:25","2025/8/13 23:41:31","中风险","需要用户确认","4145878880","3.86 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\text_encoders\umt5-xxl-encoder-Q5_K_S.gguf","4052293472","3.77 GB","AI 模型权重、数据集、缓存","2025/9/18 15:10:40","2025/8/13 23:43:14","中风险","需要用户确认","4052293472","3.77 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\unet\wan2.1-i2v-14b-480p-Q3_K_S.gguf","7925939584","7.38 GB","AI 模型权重、数据集、缓存","2025/9/18 15:10:40","2025/8/12 17:42:36","中风险","需要用户确认","7925939584","7.38 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\unet\wan2.1-i2v-14b-480p-Q4_K_M.gguf","11341184384","10.56 GB","AI 模型权重、数据集、缓存","2025/9/18 15:10:40","2025/8/12 18:03:08","中风险","需要用户确认","11341184384","10.56 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\unet\wan2.1-i2v-14b-480p-Q4_K_S.gguf","10437606784","9.72 GB","AI 模型权重、数据集、缓存","2025/9/18 15:10:40","2025/8/12 17:56:06","中风险","需要用户确认","10437606784","9.72 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\unet\wan2.1-t2v-14b-Q3_K_S.gguf","6987864704","6.51 GB","AI 模型权重、数据集、缓存","2025/9/18 15:10:40","2025/8/12 17:46:14","中风险","需要用户确认","6987864704","6.51 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\unet\wan2.1-t2v-14b-Q4_K_M.gguf","10124581504","9.43 GB","AI 模型权重、数据集、缓存","2025/9/18 15:10:40","2025/8/12 18:03:39","中风险","需要用户确认","10124581504","9.43 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\unet\wan2.1-t2v-14b-Q4_K_S.gguf","9221003904","8.59 GB","AI 模型权重、数据集、缓存","2025/9/18 15:10:40","2025/8/12 17:46:02","中风险","需要用户确认","9221003904","8.59 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\unet\Wan2.2-I2V-A14B-HighNoise-Q3_K_M.gguf","7176106496","6.68 GB","AI 模型权重、数据集、缓存","2025/10/16 23:53:51","2025/8/13 18:05:32","中风险","需要用户确认","7176106496","6.68 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\unet\Wan2.2-I2V-A14B-HighNoise-Q3_K_S.gguf","6515012096","6.07 GB","AI 模型权重、数据集、缓存","2026/3/1 1:53:37","2025/8/13 18:04:01","中风险","需要用户确认","6515012096","6.07 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\unet\Wan2.2-I2V-A14B-HighNoise-Q4_K_M.gguf","9651728896","8.99 GB","AI 模型权重、数据集、缓存","2026/3/1 13:07:06","2025/8/16 13:43:06","中风险","需要用户确认","9651728896","8.99 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\unet\Wan2.2-I2V-A14B-HighNoise-Q5_K_M.gguf","10792055296","10.05 GB","AI 模型权重、数据集、缓存","2026/3/1 13:52:28","2025/8/16 21:08:49","中风险","需要用户确认","10792055296","10.05 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
