"Drive","Category","SizeBytes","SizeHuman"
"E:","AI 模型权重、数据集、缓存","1000222397830","931.53 GB"
"E:","未分类","7361902430","6.86 GB"
"E:","视频、压缩包、安装包","696725870","664.45 MB"
"E:","临时文件、回收站","19312577","18.42 MB"
"E:","浏览器缓存、软件缓存、日志","2277661","2.17 MB"
"E:","旧项目归档、课程资料、无用备份","28565","27.90 KB"
"E:","下载目录","6194","6.05 KB"
"E:","游戏文件与游戏缓存","1844","1.80 KB"
"E:","桌面堆积文件","1343","1.31 KB"
